City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
140,Thompson,CA,2020-01-14 19:23:55,55.74,-97.86,Snow,light snow,-14.8,68,90,5.82,0.0,0.0
141,Tautira,PF,2020-01-14 19:23:55,-17.73,-149.15,Clouds,broken clouds,84.2,70,75,1.12,0.0,0.0
142,Maceio,BR,2020-01-14 19:23:55,-9.67,-35.74,Clouds,few clouds,87.8,48,20,14.99,0.0,0.0
143,Bhadrachalam,IN,2020-01-14 19:23:55,17.67,80.88,Clear,clear sky,64.94,84,0,5.21,0.0,0.0
144,Batemans Bay,AU,2020-01-14 19:23:55,-35.72,150.18,Clouds,broken clouds,66.99,91,55,2.28,0.0,0.0
145,Mitsamiouli,KM,2020-01-14 19:23:56,-11.38,43.28,Clouds,few clouds,78.8,88,20,5.82,0.0,0.0
146,Torbay,CA,2020-01-14 19:23:56,47.67,-52.73,Snow,light shower snow,18.0,66,40,14.99,0.0,0.0
147,Katsuura,JP,2020-01-14 19:23:56,35.13,140.3,Rain,light intensity shower rain,46.4,93,75,8.05,0.0,0.0
148,Kaitangata,NZ,2020-01-14 19:23:56,-46.28,169.85,Clouds,overcast clouds,55.99,87,94,8.01,0.0,0.0
149,Rundu,NA,2020-01-14 19:23:57,-17.93,19.77,Clouds,broken clouds,78.8,74,66,2.24,0.0,0.0
150,Landeck,AT,2020-01-14 19:23:57,47.13,10.56,Clouds,broken clouds,41.0,57,71,5.82,0.0,0.0
151,Mehendiganj,BD,2020-01-14 19:23:57,22.82,90.53,Clear,clear sky,64.72,64,0,1.97,0.0,0.0
152,Alta Floresta,BR,2020-01-14 19:21:54,-9.88,-56.09,Clouds,scattered clouds,89.6,62,40,4.7,0.0,0.0
153,Bamiantong,CN,2020-01-14 19:23:58,44.93,130.53,Clear,clear sky,-10.26,95,0,3.36,0.0,0.0
154,Saint-Paul,RE,2020-01-14 19:23:58,-21.01,55.27,Rain,light rain,80.6,83,100,10.29,0.44,0.0
155,Cherskiy,RU,2020-01-14 19:23:58,68.75,161.3,Clouds,broken clouds,-16.46,79,60,2.89,0.0,0.0
156,Clyde River,CA,2020-01-14 19:23:59,70.47,-68.59,Clouds,few clouds,-14.8,75,20,6.93,0.0,0.0
157,Saquarema,BR,2020-01-14 19:23:59,-22.92,-42.51,Clouds,scattered clouds,84.2,45,40,8.05,0.0,0.0
158,Kieta,PG,2020-01-14 19:23:59,-6.22,155.63,Clouds,overcast clouds,79.79,79,100,8.41,0.0,0.0
159,Narsaq,GL,2020-01-14 19:24:00,60.92,-46.05,Clouds,broken clouds,12.2,61,75,4.7,0.0,0.0
160,Kichmengskiy Gorodok,RU,2020-01-14 19:24:00,59.98,45.79,Clouds,overcast clouds,29.26,91,98,8.97,0.0,0.0
161,Pitimbu,BR,2020-01-14 19:24:00,-7.47,-34.81,Clouds,few clouds,87.8,43,20,13.87,0.0,0.0
162,Cururupu,BR,2020-01-14 19:19:18,-1.83,-44.87,Rain,moderate rain,81.72,82,82,4.12,3.63,0.0
163,Lebu,CL,2020-01-14 19:24:01,-37.62,-73.65,Clouds,few clouds,66.38,64,22,11.07,0.0,0.0
164,Araquari,BR,2020-01-14 19:24:01,-26.37,-48.72,Clouds,few clouds,84.99,58,20,10.29,0.0,0.0
165,Longyearbyen,SJ,2020-01-14 19:20:05,78.22,15.64,Clouds,few clouds,-2.2,77,21,3.36,0.0,0.0
166,Antofagasta,CL,2020-01-14 19:24:02,-23.65,-70.4,Clouds,scattered clouds,72.0,56,40,14.99,0.0,0.0
167,Brae,GB,2020-01-14 19:24:02,60.4,-1.35,Rain,light rain,44.6,75,65,23.04,0.56,0.0
168,Stepnyak,KZ,2020-01-14 19:20:05,52.83,70.78,Clouds,overcast clouds,21.88,89,100,12.88,0.0,0.0
169,Madison Heights,US,2020-01-14 19:24:02,42.49,-83.11,Rain,light rain,42.01,80,90,10.29,0.0,0.0
170,China,MX,2020-01-14 19:24:03,25.7,-99.23,Clouds,few clouds,81.84,53,23,12.12,0.0,0.0
171,Saint-Pierre,RE,2020-01-14 19:24:03,-21.34,55.48,Rain,light rain,80.6,69,100,6.93,0.13,0.0
172,Sitka,US,2020-01-14 19:24:03,57.05,-135.33,Clouds,few clouds,15.8,47,20,6.93,0.0,0.0
173,Nikolskoye,RU,2020-01-14 19:24:03,59.7,30.79,Clouds,few clouds,36.0,74,20,17.9,0.0,0.0
174,Seydi,TM,2020-01-14 19:24:04,39.48,62.91,Clouds,scattered clouds,31.89,57,29,4.29,0.0,0.0
175,Wonthaggi,AU,2020-01-14 19:24:04,-38.6,145.59,Clear,clear sky,72.0,53,0,4.68,0.0,0.0
176,Avarua,CK,2020-01-14 19:21:30,-21.21,-159.78,Rain,light rain,80.6,78,91,17.22,2.56,0.0
177,Pointe Michel,DM,2020-01-14 19:24:04,15.25,-61.38,Clouds,scattered clouds,82.4,61,40,9.17,0.0,0.0
178,Esperance,AU,2020-01-14 19:24:05,-33.87,121.9,Clouds,overcast clouds,64.4,93,90,11.41,0.0,0.0
179,Kichera,RU,2020-01-14 19:24:05,55.94,110.1,Snow,light snow,-1.14,97,100,0.18,0.0,0.13
180,Ewa Beach,US,2020-01-14 19:24:05,21.32,-158.01,Clouds,broken clouds,77.0,83,75,10.29,0.0,0.0
